"parental_stress","failure_mindset","effort_attrib","ability_attrib","cbq_control","education","income","child_age","parental_stress_c","failure_mindset_c","cbq_control_c","child_age_c"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.11111111111111,2.83333333333333,3.33333333333333,4.66666666666667,6.75,6,2,5.666,0.792025203366718,-0.968779342723005,1.52350713012478,-0.351230769230769
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.88888888888889,4.16666666666667,2.66666666666667,4,4.91666666666667,7,8,7.75,-0.430197018855504,0.364553990610329,-0.309826203208556,1.73276923076923
2.88888888888889,3.16666666666667,4.33333333333333,3,4,3,3,4.083,0.569802981144496,-0.635446009389672,-1.22649286987522,-1.93423076923077
2.83333333333333,3,2.66666666666667,2.33333333333333,5,3,3,4.833,0.514247425588941,-0.802112676056338,-0.226492869875223,-1.18423076923077
3,3.5,6,3,5.91666666666667,7,8,4.416,0.680914092255607,-0.302112676056338,0.690173796791444,-1.60123076923077
2.44444444444444,3.83333333333333,4.33333333333333,5.33333333333333,3.75,5,7,5.583,0.125358536700052,0.0312206572769953,-1.47649286987522,-0.434230769230769
NA,NA,NA,NA,NA,NA,NA,6.083,NA,NA,NA,0.0657692307692308
2.72222222222222,4.83333333333333,5,6,6.16666666666667,5,3,NA,0.403136314477829,1.03122065727699,0.940173796791444,NA
1.88888888888889,4.5,1.33333333333333,2,6.5,6,6,5.5,-0.430197018855504,0.697887323943662,1.27350713012478,-0.517230769230769
2.77777777777778,4,5,5.66666666666667,3,7,8,4.916,0.458691870033385,0.197887323943662,-2.22649286987522,-1.10123076923077
2.33333333333333,3.66666666666667,3.33333333333333,2.33333333333333,4.08333333333333,7,7,5.25,0.0142474255889407,-0.135446009389672,-1.14315953654189,-0.767230769230769
1.83333333333333,3,1,4.33333333333333,5.33333333333333,5,6,6,-0.48575257441106,-0.802112676056338,0.10684046345811,-0.0172307692307694
2.11111111111111,2.5,3,2.33333333333333,3,6,6,6.083,-0.207974796633282,-1.30211267605634,-2.22649286987522,0.0657692307692308
2.05555555555556,4.33333333333333,3.66666666666667,5.33333333333333,5.25,5,6,7.583,-0.263530352188837,0.531220657276995,0.0235071301247771,1.56576923076923
2.88888888888889,3.66666666666667,4,5,4.83333333333333,3,8,7.583,0.569802981144496,-0.135446009389672,-0.39315953654189,1.56576923076923
2.66666666666667,3.5,5.33333333333333,5.33333333333333,5.66666666666667,5,6,6.5,0.347580758922274,-0.302112676056338,0.440173796791444,0.482769230769231
2.22222222222222,3,4,5.33333333333333,4.08333333333333,5,6,6.416,-0.0968636855221705,-0.802112676056338,-1.14315953654189,0.398769230769231
1.83333333333333,3.33333333333333,4.66666666666667,3.33333333333333,5.58333333333333,3,6,6.5,-0.48575257441106,-0.468779342723005,0.35684046345811,0.482769230769231
2.61111111111111,3.66666666666667,1.33333333333333,5,4.5,5,7,7.75,0.292025203366718,-0.135446009389672,-0.726492869875223,1.73276923076923
3.22222222222222,2.66666666666667,2.66666666666667,4.33333333333333,5.08333333333333,5,7,NA,0.903136314477829,-1.13544600938967,-0.14315953654189,NA
3.16666666666667,3.83333333333333,5.66666666666667,3,6,5,5,7.333,0.847580758922274,0.0312206572769953,0.773507130124777,1.31576923076923
2.83333333333333,3.33333333333333,5,3.33333333333333,5.58333333333333,5,4,5.166,0.514247425588941,-0.468779342723005,0.35684046345811,-0.851230769230769
2.94444444444444,3.83333333333333,4,3.33333333333333,6,2,4,6.333,0.625358536700052,0.0312206572769953,0.773507130124777,0.315769230769231
3,3.83333333333333,5.33333333333333,2.33333333333333,5.25,5,4,7.166,0.680914092255607,0.0312206572769953,0.0235071301247771,1.14876923076923
2.83333333333333,4.16666666666667,4.33333333333333,3,5.5,4,4,6.25,0.514247425588941,0.364553990610329,0.273507130124777,0.232769230769231
3.05555555555556,3.33333333333333,5.33333333333333,2.66666666666667,5.16666666666667,5,4,5.166,0.736469647811163,-0.468779342723005,-0.0598262032085559,-0.851230769230769
2.66666666666667,4,4,3.33333333333333,5.66666666666667,5,4,6,0.347580758922274,0.197887323943662,0.440173796791444,-0.0172307692307694
3.05555555555556,4,5.33333333333333,2.66666666666667,5.58333333333333,5,5,5.083,0.736469647811163,0.197887323943662,0.35684046345811,-0.934230769230769
3.05555555555556,4,5.33333333333333,3.33333333333333,5.5,5,5,7.166,0.736469647811163,0.197887323943662,0.273507130124777,1.14876923076923
2.77777777777778,4,5,3.66666666666667,5.66666666666667,5,5,6.25,0.458691870033385,0.197887323943662,0.440173796791444,0.232769230769231
2.77777777777778,4.16666666666667,5.33333333333333,3.66666666666667,5.66666666666667,4,4,6.333,0.458691870033385,0.364553990610329,0.440173796791444,0.315769230769231
3.16666666666667,3.83333333333333,6,3.33333333333333,5.83333333333333,5,5,6.416,0.847580758922274,0.0312206572769953,0.60684046345811,0.398769230769231
2.94444444444444,3.83333333333333,5,3.33333333333333,5.83333333333333,4,4,7.083,0.625358536700052,0.0312206572769953,0.60684046345811,1.06576923076923
3,4.16666666666667,4.66666666666667,4,6.09090909090909,2,4,6.25,0.680914092255607,0.364553990610329,0.864416221033868,0.232769230769231
2.88888888888889,4.16666666666667,4.33333333333333,4,5.91666666666667,5,5,6.083,0.569802981144496,0.364553990610329,0.690173796791444,0.0657692307692308
1.94444444444444,4,3.66666666666667,6,4.75,3,5,7.166,-0.374641463299948,0.197887323943662,-0.476492869875223,1.14876923076923
